detailsPageUrl,carat,date,dateSet,price,strikethroughPrice,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex,sold,quickShip
./diamond-details/LD13808725,1.29,Jul 29,Jul 30,10001,,7753,LD13808725,LD13808725,RD,Round,VS1,E,None,Ideal,62.7,None,1.01,Excellent,Excellent,57.0,False,,,6.93 x 6.88 x 4.33 mm,False,,0.3530382,False,True
./diamond-details/LD13184516,1.55,Aug 20,Aug 21,10003,,6454,LD13184516,LD13184516,RD,Round,VS2,I,None,Ideal,63.0,None,1.0,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1293764618/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1293764618/1/,7.37 x 7.34 x 4.64 mm,False,,0.2882735,False,False
./diamond-details/LD07418539,1.05,Jul 24,Jul 27,10004,,9528,LD07418539,LD07418539,RD,Round,VVS1,E,None,Ideal,61.7,Medium,1.0,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1235161492/still_230x230.jpg,https://bluenile.v360.in/1/imaged/gia-1235161492/1/,6.52 x 6.49 x 4.02 mm,False,,0.19397667,False,True
./diamond-details/LD13896853,1.6,Aug 20,Aug 21,10004,,6252,LD13896853,LD13896853,RD,Round,SI2,H,None,Ideal,61.9,None,1.01,Excellent,Excellent,57.0,False,,,7.47 x 7.51 x 4.64 mm,False,,0.0635699,False,False
./diamond-details/LD09783992,1.35,Aug 3,Aug 4,10005,,7411,LD09783992,LD09783992,RD,Round,VS2,G,None,Ideal,62.1,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7278979148/still_230x230.jpg,https://bluenile.v360.in/67/imaged/gia-7278979148/1/,7.07 x 7.03 x 4.38 mm,False,,0.24571598,False,False
./diamond-details/LD13516656,1.4,Aug 20,Aug 21,10005,,7146,LD13516656,LD13516656,RD,Round,VVS2,H,None,Ideal,62.7,None,1.01,Excellent,Excellent,58.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2346880898/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2346880898/1/,7.06 x 7.12 x 4.44 mm,False,,0.5618076,False,False
./diamond-details/LD12514984,1.4,Aug 3,Aug 4,10007,,7148,LD12514984,LD12514984,RD,Round,VVS2,H,None,Ideal,62.8,None,1.01,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7328735330/still_230x230.jpg,https://bluenile.v360.in/17/imaged/gia-7328735330/1/,7.12 x 7.08 x 4.46 mm,False,,0.55349094,False,False
./diamond-details/LD13067353,1.4,Aug 3,Aug 4,10007,,7148,LD13067353,LD13067353,RD,Round,VVS2,H,None,Ideal,62.5,None,1.01,Excellent,Excellent,57.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2203402080/still_230x230.jpg,https://bluenile.v360.in/17/imaged/gia-2203402080/1/,7.17 x 7.12 x 4.47 mm,False,,0.57534474,False,False
./diamond-details/LD03981626,1.44,Jul 24,Jul 27,10008,,6950,LD03981626,LD03981626,RD,Round,VS2,I,Very Small,Ideal,61.6,None,1.0,Excellent,Excellent,56.0,True,https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5166155991/still_230x230.jpg,https://bluenile.v360.in/9/imaged/gia-5166155991/1/,7.24 x 7.21 x 4.45 mm,False,,0.15597305,False,True
./diamond-details/LD13739590,1.7,Aug 20,Aug 21,10008,,5887,LD13739590,LD13739590,RD,Round,VS2,K,None,Ideal,61.7,None,1.01,Excellent,Excellent,59.0,False,,,7.62 x 7.66 x 4.72 mm,False,,0.122405075,False,False
